single: input 2097100, output... 15.40363407135009765625
single: input 2097101, output... 15.40363502502441406250
single: input 2097102, output... 15.40363597869873046875
single: input 2097103, output... 15.40363693237304687500
single: input 2097104, output... 15.40363788604736328125
single: input 2097105, output... 15.40363883972167968750
single: input 2097106, output... 15.40363979339599609375
single: input 2097107, output... 15.40364074707031250000
single: input 2097108, output... 15.40364170074462890625
single: input 2097109, output... 15.40364265441894531250
single: input 2097110, output... 15.40364360809326171875
single: input 2097111, output... 15.40364456176757812500
single: input 2097112, output... 15.40364551544189453125
single: input 2097113, output... 15.40364646911621093750
single: input 2097114, output... 15.40364742279052734375
single: input 2097115, output... 15.40364837646484375000
single: input 2097116, output... 15.40364933013916015625
single: input 2097117, output... 15.40365028381347656250
single: input 2097118, output... 15.40365123748779296875
single: input 2097119, output... 15.40365219116210937500
single: input 2097120, output... 15.40365314483642578125
single: input 2097121, output... 15.40365409851074218750
single: input 2097122, output... 15.40365505218505859375
single: input 2097123, output... 15.40365600585937500000
single: input 2097124, output... 15.40365695953369140625
single: input 2097125, output... 15.40365791320800781250
single: input 2097126, output... 15.40365886688232421875
single: input 2097127, output... 15.40365982055664062500
single: input 2097128, output... 15.40366077423095703125
single: input 2097129, output... 15.40366172790527343750
single: input 2097130, output... 15.40366268157958984375
single: input 2097131, output... 15.40366363525390625000
single: input 2097132, output... 15.40366458892822265625
single: input 2097133, output... 15.40366554260253906250
single: input 2097134, output... 15.40366649627685546875
single: input 2097135, output... 15.40366744995117187500
single: input 2097136, output... 15.40366840362548828125
single: input 2097137, output... 15.40366935729980468750
single: input 2097138, output... 15.40367031097412109375
single: input 2097139, output... 15.40367126464843750000
single: input 2097140, output... 15.40367221832275390625
single: input 2097141, output... 15.40367317199707031250
single: input 2097142, output... 15.40367412567138671875
single: input 2097143, output... 15.40367507934570312500
single: input 2097144, output... 15.40367603302001953125
single: input 2097145, output... 15.40367698669433593750
single: input 2097146, output... 15.40367794036865234375
single: input 2097147, output... 15.40367889404296875000
single: input 2097148, output... 15.40367984771728515625
