double: input 2097100, output... 15.13328189924446931514
double: input 2097101, output... 15.13328237609322357571
double: input 2097102, output... 15.13328285294175046261
double: input 2097103, output... 15.13328332979004997583
double: input 2097104, output... 15.13328380663812211537
double: input 2097105, output... 15.13328428348596688124
double: input 2097106, output... 15.13328476033358427344
double: input 2097107, output... 15.13328523718097429196
double: input 2097108, output... 15.13328571402813693680
double: input 2097109, output... 15.13328619087507220797
double: input 2097110, output... 15.13328666772178010547
double: input 2097111, output... 15.13328714456826062928
double: input 2097112, output... 15.13328762141451377943
double: input 2097113, output... 15.13328809826053955589
double: input 2097114, output... 15.13328857510633795869
double: input 2097115, output... 15.13328905195190898780
double: input 2097116, output... 15.13328952879725264324
double: input 2097117, output... 15.13329000564236892501
double: input 2097118, output... 15.13329048248725783310
double: input 2097119, output... 15.13329095933191936751
double: input 2097120, output... 15.13329143617635352825
double: input 2097121, output... 15.13329191302056031532
double: input 2097122, output... 15.13329238986453972871
double: input 2097123, output... 15.13329286670829176842
double: input 2097124, output... 15.13329334355181643446
double: input 2097125, output... 15.13329382039511372682
double: input 2097126, output... 15.13329429723818364550
double: input 2097127, output... 15.13329477408102619052
double: input 2097128, output... 15.13329525092364136185
double: input 2097129, output... 15.13329572776602915951
double: input 2097130, output... 15.13329620460818958350
double: input 2097131, output... 15.13329668145012263381
double: input 2097132, output... 15.13329715829182831044
double: input 2097133, output... 15.13329763513330661340
double: input 2097134, output... 15.13329811197455754268
double: input 2097135, output... 15.13329858881558109829
double: input 2097136, output... 15.13329906565637728022
double: input 2097137, output... 15.13329954249694608848
double: input 2097138, output... 15.13330001933728752306
double: input 2097139, output... 15.13330049617740158396
double: input 2097140, output... 15.13330097301728827119
double: input 2097141, output... 15.13330144985694758475
double: input 2097142, output... 15.13330192669637952463
double: input 2097143, output... 15.13330240353558409083
double: input 2097144, output... 15.13330288037456128336
double: input 2097145, output... 15.13330335721331110221
double: input 2097146, output... 15.13330383405183354739
double: input 2097147, output... 15.13330431089012861889
double: input 2097148, output... 15.13330478772819631672
double: input 2097149, output... 15.13330526456603664087
double: input 2097150, output... 15.13330574140364959135
double: input 2097151, output... 15.13330621824103516815
double: input 2097152, output... 15.13330669507819337127
double: input 2097153, output... 15.13330717191512420072
double: input 2097154, output... 15.13330764875182765650
double: input 2097155, output... 15.13330812558830373860
double: input 2097156, output... 15.13330860242455244702
double: input 2097157, output... 15.13330907926057378177
double: input 2097158, output... 15.13330955609636774284
double: input 2097159, output... 15.13331003293193433024
double: input 2097160, output... 15.13331050976727354396
double: input 2097161, output... 15.13331098660238538400
double: input 2097162, output... 15.13331146343726985037
double: input 2097163, output... 15.13331194027192694307
double: input 2097164, output... 15.13331241710635666209
double: input 2097165, output... 15.13331289394055900743
double: input 2097166, output... 15.13331337077453397910
double: input 2097167, output... 15.13331384760828157710
double: input 2097168, output... 15.13331432444180180141
double: input 2097169, output... 15.13331480127509465206
double: input 2097170, output... 15.13331527810816012902
double: input 2097171, output... 15.13331575494099823231
double: input 2097172, output... 15.13331623177360896193
double: input 2097173, output... 15.13331670860599231787
double: input 2097174, output... 15.13331718543814830014
double: input 2097175, output... 15.13331766227007690873
double: input 2097176, output... 15.13331813910177814364
double: input 2097177, output... 15.13331861593325200488
double: input 2097178, output... 15.13331909276449849244
double: input 2097179, output... 15.13331956959551760633
double: input 2097180, output... 15.13332004642630934654
double: input 2097181, output... 15.13332052325687371308
double: input 2097182, output... 15.13332100008721070594
double: input 2097183, output... 15.13332147691732032513
double: input 2097184, output... 15.13332195374720257064
double: input 2097185, output... 15.13332243057685744247
double: input 2097186, output... 15.13332290740628494063
double: input 2097187, output... 15.13332338423548506512
double: input 2097188, output... 15.13332386106445781593
double: input 2097189, output... 15.13332433789320319306
double: input 2097190, output... 15.13332481472172119652
double: input 2097191, output... 15.13332529155001182630
double: input 2097192, output... 15.13332576837807508241
double: input 2097193, output... 15.13332624520591096484
double: input 2097194, output... 15.13332672203351947360
double: input 2097195, output... 15.13332719886090060868
double: input 2097196, output... 15.13332767568805437008
double: input 2097197, output... 15.13332815251498075781
double: input 2097198, output... 15.13332862934167977187
double: input 2097199, output... 15.13332910616815141225
double: input 2097200, output... 15.13332958299439567895
double: input 2097201, output... 15.13333005982041257198
double: input 2097202, output... 15.13333053664620209133
double: input 2097203, output... 15.13333101347176423701
double: input 2097204, output... 15.13333149029709900901
double: input 2097205, output... 15.13333196712220640734
double: input 2097206, output... 15.13333244394708643199
double: input 2097207, output... 15.13333292077173908297
double: input 2097208, output... 15.13333339759616436027
double: input 2097209, output... 15.13333387442036226389
double: input 2097210, output... 15.13333435124433279384
double: input 2097211, output... 15.13333482806807595011
double: input 2097212, output... 15.13333530489159173271
double: input 2097213, output... 15.13333578171488014164
double: input 2097214, output... 15.13333625853794117688
double: input 2097215, output... 15.13333673536077483845
double: input 2097216, output... 15.13333721218338112635
double: input 2097217, output... 15.13333768900576004057
double: input 2097218, output... 15.13333816582791158112
double: input 2097219, output... 15.13333864264983574799
double: input 2097220, output... 15.13333911947153254118
double: input 2097221, output... 15.13333959629300196070
double: input 2097222, output... 15.13334007311424400655
double: input 2097223, output... 15.13334054993525867872
double: input 2097224, output... 15.13334102675604597721
double: input 2097225, output... 15.13334150357660590203
double: input 2097226, output... 15.13334198039693845317
double: input 2097227, output... 15.13334245721704363064
double: input 2097228, output... 15.13334293403692143443
double: input 2097229, output... 15.13334341085657186454
double: input 2097230, output... 15.13334388767599492098
double: input 2097231, output... 15.13334436449519060375
double: input 2097232, output... 15.13334484131415891284
double: input 2097233, output... 15.13334531813289984825
double: input 2097234, output... 15.13334579495141340999
double: input 2097235, output... 15.13334627176969959805
